data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer1,1,PCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.5
butterfly,layer1,1,GradPCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.5
butterfly,layer1,1,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.5
butterfly,layer1,1,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.5
butterfly,layer1,16,PCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9645739197731018
butterfly,layer1,16,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9480358958244324
butterfly,layer1,16,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.8444421291351318
butterfly,layer1,16,GradPCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.5723845362663269
butterfly,layer1,32,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9899570345878601
butterfly,layer1,32,PCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9832795858383179
butterfly,layer1,32,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.974907398223877
butterfly,layer1,32,GradPCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.8063775300979614
butterfly,layer1,48,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.993300199508667
butterfly,layer1,48,PCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9932959675788879
butterfly,layer1,48,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.991618812084198
butterfly,layer1,48,GradPCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9882970452308655
butterfly,layer1,64,GradPCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9933035969734192
butterfly,layer1,64,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9933035969734192
butterfly,layer1,64,PCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9933034181594849
butterfly,layer1,64,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9933034181594849
