data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer2,1,PCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.5
butterfly,layer2,1,GradPCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.5
butterfly,layer2,1,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.5
butterfly,layer2,1,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.5
butterfly,layer2,16,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9214320778846741
butterfly,layer2,16,GradPCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.8082774877548218
butterfly,layer2,16,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.6531771421432495
butterfly,layer2,16,PCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.6356149315834045
butterfly,layer2,32,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9832843542098999
butterfly,layer2,32,PCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9715263843536377
butterfly,layer2,32,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9664655327796936
butterfly,layer2,32,GradPCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9562295079231262
butterfly,layer2,48,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9882899522781372
butterfly,layer2,48,PCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9866048693656921
butterfly,layer2,48,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9815874695777893
butterfly,layer2,48,GradPCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9763850569725037
butterfly,layer2,64,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9916326403617859
butterfly,layer2,64,GradPCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.988277792930603
butterfly,layer2,64,PCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9866262674331665
butterfly,layer2,64,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9866098761558533
